paragraph_id,doc_id,source_name,title,company,sector,document_type,theme,source_method,url,date,text,char_count,category,confidence,sentiment,model,classified_at
DOC_doc_jereh_2025_annual_su_P0001,DOC_doc_jereh_2025_annual_su,DOC Jereh 2025 Annual Summary,DOC Jereh 2025 Annual Summary,Yantai Jereh,Oilfield Services,Article,Jereh Financials,rebuild,,2025-06-01,"Document: Yantai Jereh Oilfield Services 2025 Annual Report
Source: https://www.jereh.com
Published: 2026-04-17
Company: Jereh Oilfield Services Group Co., Ltd.
Stock Code: 002353.SZ",182,Not Relevant,0.95,neutral,deepseek-chat,2026-04-30T13:55:30.240022
DOC_doc_jereh_2025_annual_su_P0002,DOC_doc_jereh_2025_annual_su,DOC Jereh 2025 Annual Summary,DOC Jereh 2025 Annual Summary,Yantai Jereh,Oilfield Services,Article,Jereh Financials,rebuild,,2025-06-01,"FINANCIAL HIGHLIGHTS 2025:
- Revenue: 16.22 billion yuan (+21.48% year-over-year growth)
- Net Profit: 2.68 billion yuan (+2.03% growth)
- Non-Recurring Net Profit: 2.683 billion yuan (+11.69% growth)
- Operating Cash Flow: 5.378 billion yuan (+107.37% growth)
- Earnings Per Share: 2.64 yuan
- Return on Equity: 12.15%
- Proposed Dividend: 7 yuan per 10 shares (tax included)",376,Margin/Earnings Risk,0.85,neutral,deepseek-chat,2026-04-30T13:55:32.491323
DOC_doc_jereh_2025_annual_su_P0003,DOC_doc_jereh_2025_annual_su,DOC Jereh 2025 Annual Summary,DOC Jereh 2025 Annual Summary,Yantai Jereh,Oilfield Services,Article,Jereh Financials,rebuild,,2025-06-01,"CONTACT INFORMATION:
- Address: No. 5 Jereh Road, Laishan District, Yantai, Shandong Province 264003
- Phone: 0535-6723532
- Fax: 0535-6723171
- Email: zqb@jereh.com
- Board Secretary: Qu Ning",192,Not Relevant,1.0,neutral,deepseek-chat,2026-04-30T13:55:34.798297
DOC_doc_jereh_2025_annual_su_P0004,DOC_doc_jereh_2025_annual_su,DOC Jereh 2025 Annual Summary,DOC Jereh 2025 Annual Summary,Yantai Jereh,Oilfield Services,Article,Jereh Financials,rebuild,,2025-06-01,"BUSINESS SEGMENT:
- Oilfield services and equipment
- Shale gas completion tools
- Oilfield pressure pumping equipment
- Energy transition risks in oilfield services sector",172,Margin/Earnings Risk,0.85,negative,deepseek-chat,2026-04-30T13:55:37.129530
DOC_doc_jereh_2025_annual_su_P0005,DOC_doc_jereh_2025_annual_su,DOC Jereh 2025 Annual Summary,DOC Jereh 2025 Annual Summary,Yantai Jereh,Oilfield Services,Article,Jereh Financials,rebuild,,2025-06-01,"RECENT ANNOUNCEMENTS 2026:
- Foreign exchange hedging business feasibility report
- Investor relations activity record April 2026
- Special fundraising account establishment April 2026",184,Not Relevant,0.95,neutral,deepseek-chat,2026-04-30T13:55:39.822403
DOC_doc_jereh_2025_annual_su_P0006,DOC_doc_jereh_2025_annual_su,DOC Jereh 2025 Annual Summary,DOC Jereh 2025 Annual Summary,Yantai Jereh,Oilfield Services,Article,Jereh Financials,rebuild,,2025-06-01,"RECENT INVESTOR RELATIONS ACTIVITIES:
- April 27, 2026: 2025 Annual Online Performance Briefing
- Participants: Chairman Li Zhiyong, Independent Director Yu Jianqing, CFO Cui Lingling, Board Secretary Qu Ning",208,Not Relevant,1.0,neutral,deepseek-chat,2026-04-30T13:55:41.973153
DOC_doc_jereh_2025_annual_su_P0007,DOC_doc_jereh_2025_annual_su,DOC Jereh 2025 Annual Summary,DOC Jereh 2025 Annual Summary,Yantai Jereh,Oilfield Services,Article,Jereh Financials,rebuild,,2025-06-01,"STOCK PRICE (as of 2026-04-30):
- Price: 127.78 yuan
- Daily change: +0.53 yuan (+0.42%)",88,Not Relevant,1.0,neutral,deepseek-chat,2026-04-30T13:55:44.040204
DOC_24b95c98b1d6_P0001,DOC_24b95c98b1d6,Yantai Jereh Investor Relations,Yantai Jereh Investor Relations,Yantai Jereh,Oilfield Services,Earnings,Jereh Financials,rebuild,https://www.jereh.com/cn/investor/Investor-relations,,"Language
中文
ENGLISH
集团网站群
关于我们
关于我们
从创立之初，我们就把真诚作为杰瑞企业文化的基石，在不断为客户创造价值的同时，也在为社会贡献诚实、友善和尊重。今天，我们的业务遍及70多个国家和地区，拥有超过6000名优秀员工。我们正在与全球合作伙伴开放合作，满足人们对美好生活的向往。
公司简介
企业文化
发展历程
品牌故事
业务领域
石油产业集群
天然气产业集群
数据中心及电力产业集群
新能源产业集群
新闻中心
新闻中心
品牌是企业最宝贵的无形资产。杰瑞的品牌价值，来自于高品质的承诺与坚守、对客户口碑的珍视、长期建立起的品牌信任度之和。
公司新闻
媒体报道
视频中心
可持续发展
可持续发展
安全健康的工作环境、更好地承担社会责任、与客户打造和谐共赢产业链等可持续发展理念已融入到杰瑞各业务部门管理和运营的方方面面之中。
QHSE
社会责任
贸易合规
阳光采购
投资者关系
加入我们
搜索
返回
首页
关于我们
公司简介
企业文化
发展历程
品牌故事
业务领域
石油产业集群
天然气产业集群
数据中心及电力产业集群
新能源产业集群
新闻中心
公司新闻
媒体报道
视频中心
可持续发展
QHSE
社会责任
贸易合规
阳光采购
投资者关系
加入我们
功能导航
登录 | 注册
全球供应商门户
成为经销商
全球站点
集团网站群
烟台杰瑞石油装备技术有限公司
杰瑞新能源科技有限公司
杰瑞石油天然气工程有限公司
杰瑞新能源再生循环科技有限公司
杰瑞能源服务有限公司
山东杰瑞敏电能源有限公司
Jereh Oil & Gas Engineering Corporation
Jereh Energy Equipment and Technologies Corporation
杰瑞环球发展有限公司
杰瑞环境科技有限公司
四川杰瑞恒日天然气工程有限公司
杰森能源技术有限公司
格瑞飞科国际公司
山东杰瑞海洋工程有限公司
德州联合石油科技股份有限公司
山东杰瑞凯泰科技股份有限公司
烟台富耐克换热器有限公司
四川英识检测服务有限公司
山东捷瑞数字科技股份有限公司
橙色云互联网设计有限公司
电话：
400 699 9518
邮箱：
sales@jereh.com
官方微信
微信视频号
官方微博
抖音号
投资者关系
杰瑞股份[002353]
元
最高（元）
最低（元）
成交量（万手）
成交额（亿）
业绩报告
投资者保护
联系方式
投资者关系热线：0535-672 3532
证券邮箱：zqb@jereh.com
杰瑞股份
SZ002353
现价
涨跌幅
德石股份
SZ301158
现价
涨跌幅
抖音号
抖音扫一扫，
立即关注我
官方微博
扫一扫，
更多惊喜
官方微信
关注我们，
更多杰瑞资讯",1156,Not Relevant,1.0,neutral,deepseek-chat,2026-04-30T13:55:46.075827
DOC_doc_pair_analysis_dongfa_P0001,DOC_doc_pair_analysis_dongfa,DOC Pair Analysis Dongfang Jereh 2025,DOC Pair Analysis Dongfang Jereh 2025,Dongfang Electric,Grid Infrastructure,Article,Dongfang Financials,rebuild,,2025-04-30,"Document: Pair Trade Analysis - Dongfang Electric vs Yantai Jereh 2025
Source: Consolidated Financial RePublished: 2025-04-30
Type: Comparative Financial Analysis",162,Not Relevant,1.0,neutral,deepseek-chat,2026-04-30T13:55:48.224512
DOC_doc_pair_analysis_dongfa_P0002,DOC_doc_pair_analysis_dongfa,DOC Pair Analysis Dongfang Jereh 2025,DOC Pair Analysis Dongfang Jereh 2025,Dongfang Electric,Grid Infrastructure,Article,Dongfang Financials,rebuild,,2025-04-30,"=== DONGFANG ELECTRIC (LONG LEG) ===
Stock Code: 600875.SH / 01072.HK
Sector: Power Generation Equipment, Grid Infrastructure, Clean Energy",139,Grid Resilience,0.85,neutral,deepseek-chat,2026-04-30T13:55:50.358960
DOC_doc_pair_analysis_dongfa_P0003,DOC_doc_pair_analysis_dongfa,DOC Pair Analysis Dongfang Jereh 2025,DOC Pair Analysis Dongfang Jereh 2025,Dongfang Electric,Grid Infrastructure,Article,Dongfang Financials,rebuild,,2025-04-30,"FINANCIAL HIGHLIGHTS 2025:
- Revenue: 78.62 billion yuan (+12.80% year-over-year)
- Net Profit Attributable to Shareholders: 3.831 billion yuan (+31.11% growth)
- Operating Cash Flow: 2.01 billion yuan (-79.98% decline)
- Basic EPS: 1.15 yuan
- Dividend: 5.30 yuan per 10 shares (+11.58% increase)
- P/E Ratio (TTM): 36.07x
- P/B Ratio: 3.06x
- Market Cap (A-Share): 138.2 billion yuan",385,Margin/Earnings Risk,0.85,positive,deepseek-chat,2026-04-30T13:55:52.496054
DOC_doc_pair_analysis_dongfa_P0004,DOC_doc_pair_analysis_dongfa,DOC Pair Analysis Dongfang Jereh 2025,DOC Pair Analysis Dongfang Jereh 2025,Dongfang Electric,Grid Infrastructure,Article,Dongfang Financials,rebuild,,2025-04-30,"BUSINESS SEGMENTS:
- Core: Power generation equipment manufacturing
- Growth Driver: Clean energy equipment (wind, solar, nuclear)
- Strategic Focus: Grid infrastructure, State Grid contracts
- New Initiatives: Hydrogen energy, energy storage, industrial digitization",267,Policy-Backed Capex,0.85,positive,deepseek-chat,2026-04-30T13:55:54.718425
DOC_doc_pair_analysis_dongfa_P0005,DOC_doc_pair_analysis_dongfa,DOC Pair Analysis Dongfang Jereh 2025,DOC Pair Analysis Dongfang Jereh 2025,Dongfang Electric,Grid Infrastructure,Article,Dongfang Financials,rebuild,,2025-04-30,"KEY STRENGTHS:
- Net profit growing faster than revenue (margin expansion)
- Strong positioning in China's grid infrastructure buildout
- Policy-backed capex beneficiary (State Grid investments)
- Leading nuclear and wind power equipment supplier
- 47.84% dividend payout ratio shows shareholder commitment",306,Policy-Backed Capex,0.95,positive,deepseek-chat,2026-04-30T13:55:56.823028
